iter	Accuracy	MultiCrossEntropy
0	0	0.1076779379
1	0	0.05942262608
2	0.009212481426	0.05026836955
3	0.02176820208	0.04787026345
4	0.03038632987	0.04641333766
5	0.04249628529	0.04421381836
6	0.05468053492	0.04221016749
7	0.06448736999	0.04063999988
8	0.09583952452	0.03910987928
9	0.1135958395	0.0375206263
10	0.1299405646	0.03616674806
11	0.1518573551	0.03483087002
12	0.1760029718	0.03359285604
13	0.2042347697	0.03232901585
14	0.220653789	0.03099299364
15	0.2342496285	0.02978854259
16	0.2558692422	0.02864138949
17	0.2790490342	0.02735610124
18	0.2973997028	0.02606328812
19	0.3122585438	0.02474862475
20	0.3309063893	0.02351762141
21	0.3546062407	0.02231898011
22	0.3658246657	0.02116586995
23	0.4039375929	0.02024447618
24	0.4254829123	0.01922016021
25	0.4431649331	0.01829212004
26	0.4614413076	0.01740808789
27	0.4832095097	0.01672422158
28	0.5082466568	0.01606534294
29	0.5321693908	0.01565538471
30	0.5540861813	0.0151727385
31	0.5768945022	0.01478365738
32	0.5911589896	0.01431324782
33	0.6103268945	0.01388817412
34	0.6280089153	0.01346820275
35	0.641679049	0.01302310195
36	0.6592867756	0.01269033689
37	0.6713224368	0.01227209203
38	0.6843239227	0.0118958609
39	0.7001485884	0.0115186484
40	0.7153046062	0.01123924896
41	0.7225111441	0.01095257551
42	0.7338038633	0.01066391388
43	0.7436849926	0.01034923773
44	0.7522288262	0.01009872369
45	0.7605497771	0.009856153874
46	0.7705794948	0.00962732529
47	0.7775631501	0.009407521758
48	0.7841753343	0.009171977538
49	0.7922734027	0.008931651729
50	0.7979940565	0.008727882087
51	0.803640416	0.00851285222
52	0.8068350669	0.008320830598
53	0.8121842496	0.008094108147
54	0.8179049034	0.007907717664
55	0.8244427935	0.007725726146
56	0.8272659733	0.007573332452
57	0.8306092125	0.007421806012
58	0.8339524517	0.007276483242
59	0.8377414562	0.007143581915
60	0.8411589896	0.007010883803
61	0.844576523	0.006875710903
62	0.8468796434	0.006734190624
63	0.8531203566	0.00642246638
64	0.8551263001	0.006239644076
65	0.8569093611	0.006127500261
66	0.8582466568	0.006010727398
67	0.8602526003	0.005905442456
68	0.8627786033	0.005796256217
69	0.8679791976	0.00566255109
70	0.8686478455	0.005613333299
71	0.8693907875	0.005534354128
72	0.8728826152	0.005423013048
73	0.8744427935	0.005322073804
74	0.876820208	0.005241977294
75	0.8791233284	0.005154994906
76	0.8821693908	0.00501843523
77	0.8826894502	0.004986446035
78	0.8852897474	0.004914875595
79	0.8873699851	0.004818131773
80	0.8894502229	0.004712260151
81	0.8927934621	0.004609557638
82	0.8931649331	0.004533542601
83	0.896359584	0.004413003076
84	0.8983655275	0.004316626854
85	0.9011887073	0.004206403558
86	0.9028231798	0.004088169297
87	0.9045319465	0.004021105236
88	0.9063150074	0.003966521111
89	0.9078008915	0.003905687692
90	0.9089895988	0.00385681887
91	0.9091381872	0.003791393883
92	0.9103268945	0.003758972063
93	0.9118870728	0.00370795363
94	0.9161218425	0.003625100171
95	0.9176820208	0.00358514286
96	0.9182763744	0.003561155076
97	0.9179049034	0.003534355292
98	0.9189450223	0.003468464567
99	0.9210995542	0.003413169035
100	0.9225854383	0.003357618119
101	0.9236998514	0.003323943231
102	0.9248885587	0.003273175895
103	0.9261515602	0.003225512844
104	0.9265973254	0.003193912758
105	0.9275631501	0.003153192324
106	0.9288261516	0.003099611651
107	0.9301634473	0.003068839083
108	0.9310549777	0.003037538839
109	0.9321693908	0.002986010223
110	0.9321693908	0.002957155829
111	0.9328380386	0.002938292313
112	0.9338781575	0.00290728073
113	0.9339524517	0.002886671962
114	0.9346953938	0.002860156656
