iter	Passed	Remaining
0	7559	7552413
1	14951	7460921
2	22103	7345567
3	29210	7273335
4	36298	7223449
5	43370	7185081
6	50500	7163830
7	57590	7141267
8	64629	7116396
9	71666	7094985
10	78823	7086916
11	85856	7068877
12	92928	7055428
13	100085	7048912
14	107168	7037376
15	114204	7023579
16	121311	7014658
17	128378	7003762
18	135398	6990813
19	142492	6982156
20	149635	6975867
21	156735	6967592
22	163806	6958226
23	170876	6948994
24	178010	6942417
25	185106	6934362
26	192218	6926972
27	199324	6919396
28	206395	6910677
29	213459	6901867
30	220596	6895411
31	227718	6888472
32	234784	6879897
33	241919	6873373
34	249030	6866130
35	256173	6859755
36	263248	6851579
37	270353	6844200
38	277532	6838673
39	284651	6831626
40	291726	6823546
41	298846	6816542
42	305918	6808458
43	313022	6801122
44	320118	6793617
45	327217	6786216
46	334293	6778335
47	341341	6769949
48	348474	6763245
49	355523	6754952
50	362636	6747891
51	369795	6741665
52	376905	6734510
53	383959	6726394
54	391108	6719948
55	398164	6711916
56	405261	6704591
57	412356	6697231
58	419459	6690030
59	426505	6681927
60	433534	6673582
61	440702	6667397
62	447762	6659575
63	454996	6654328
64	462261	6649449
65	469367	6642266
66	476533	6635903
67	483611	6628324
68	490726	6621258
69	497815	6613834
70	504912	6606533
71	512087	6600239
72	519138	6592350
73	526292	6585771
74	533378	6578337
75	540539	6571819
76	547814	6566659
77	554883	6559007
78	562006	6551996
79	569212	6545949
80	576289	6538395
81	583438	6531666
82	590564	6524670
83	597927	6520252
84	605142	6514180
85	612338	6507879
86	619574	6501967
87	626688	6494775
88	633776	6487309
89	640980	6481029
90	648116	6474044
91	655179	6466333
92	662282	6459030
93	669423	6452105
94	676684	6446308
95	683850	6439587
96	691019	6432893
97	698099	6425368
98	705198	6418017
99	712270	6410433
100	719544	6404654
101	726637	6397255
102	733712	6389708
103	740921	6383320
104	748075	6376449
105	755193	6369276
106	762488	6363569
107	769578	6356147
108	776799	6349802
109	783978	6343100
110	791037	6335422
111	798139	6328105
112	805215	6320586
113	812524	6314886
114	819599	6307348
115	826716	6300151
116	833764	6292424
117	841068	6286626
118	848184	6279415
119	855366	6272687
120	862590	6266254
121	869801	6259719
122	877043	6253391
123	884120	6245880
124	891370	6239596
125	898455	6232144
126	905537	6224678
127	912849	6218786
128	921345	6220869
129	928426	6213316
130	935576	6206226
131	942763	6199383
132	949989	6192785
133	958380	6193710
134	965462	6186113
135	972535	6178462
136	979872	6172479
137	986949	6164861
138	994083	6157595
139	1002502	6158231
140	1009662	6151063
141	1016842	6144021
142	1023905	6136272
143	1030985	6128636
144	1039442	6129126
145	1046517	6121407
146	1053550	6113457
147	1060722	6106319
148	1067937	6099425
149	1075136	6092438
150	1083603	6092581
151	1090674	6084813
152	1097883	6077828
153	1104970	6070161
154	1112290	6063778
155	1120520	6062301
156	1127749	6055366
157	1134948	6048270
158	1142060	6040708
159	1149287	6033757
160	1157520	6032049
161	1164633	6024464
162	1171822	6017270
163	1179022	6010140
164	1186114	6002458
165	1193219	5994850
166	1201439	5992809
167	1208580	5985352
168	1215703	5977807
169	1222778	5970037
170	1230015	5963055
171	1238244	5960853
172	1245312	5953024
173	1252490	5945729
174	1259664	5938420
175	1266949	5931625
176	1274076	5924095
177	1282150	5920941
178	1289313	5913554
179	1296465	5906119
180	1303611	5898663
181	1310719	5891034
182	1318914	5888267
183	1325985	5880458
184	1333111	5872896
185	1340186	5865118
186	1347404	5857968
187	1354651	5850941
188	1362608	5846961
189	1369935	5840250
190	1377075	5832744
191	1384121	5824845
192	1391230	5817216
193	1399183	5813102
194	1406275	5805393
195	1413499	5798232
196	1420706	5791002
197	1427960	5783961
198	1435156	5776685
199	1442972	5771891
200	1450122	5764419
201	1457234	5756798
202	1464389	5749352
203	1471625	5742226
204	1479432	5737311
205	1486593	5729879
206	1493723	5722331
207	1500990	5715308
208	1508285	5708391
209	1515318	5700485
210	1523228	5695865
211	1530378	5688388
212	1537578	5681098
213	1544610	5673196
214	1551690	5665474
215	1559452	5660233
216	1566637	5652891
217	1573775	5645377
218	1580918	5637886
219	1588275	5631156
220	1595433	5623722
221	1603205	5618440
222	1610461	5611338
223	1617587	5603783
224	1624692	5596163
225	1631915	5588948
226	1639710	5583683
227	1646822	5576083
228	1653864	5568252
229	1661132	5561182
230	1668306	5553798
231	1675502	5546490
232	1683074	5540421
233	1690168	5532775
234	1697357	5525441
235	1704439	5517761
236	1711596	5510328
237	1719171	5504239
238	1726320	5496778
239	1733464	5489303
240	1740567	5481703
241	1747844	5474653
242	1755020	5467286
243	1762439	5460671
244	1769597	5453250
245	1776647	5445496
246	1783764	5437954
247	1791072	5430993
248	1798547	5424535
249	1805675	5417027
250	1812802	5409519
251	1819953	5402083
252	1827194	5394918
253	1834240	5387180
254	1841710	5380685
255	1848891	5373341
256	1856039	5365904
257	1863234	5358603
258	1870435	5351322
